cell,wave,scored_by,tau,record_id,slot,origin,parent_record_id,status,feasible,on_target,valid,converged,failure,pattern,feed,e_core,case_pair,p_feas,acq,exploit,margin,raw_epi,ao_min,ao_max,pred_f_r,act_f_r,pred_cbc_max,act_cbc_max,pred_f_q,act_f_q,pred_cyclen,act_cyclen,pred_ao_abs,act_ao_abs,pred_max_assembly_burnup,act_max_assembly_burnup,pred_max_pin_burnup,act_max_pin_burnup
alsearch_E1_E2_f117_minFE,0,20260721_105824,0.3,e4581cbc98dbf508ecccbe2204c762f097d2956c7ed313e98c5608b52f7504e0,exploit,local,4888de5ded779f32e4aafd7855a9d0aa643051ce58cbf8815a5d3711ce4209ee,converged,False,False,True,True,,F:E1:0|S:1:M:10:2|S:1:R:12:2|S:1:K:12:2|S:1:T:11:2|S:1:M:17:2|F:E1:0|F:E1:0|F:E2:0|S:1:M:10:1|F:E2:0|F:E2:0|F:E2:0|F:E2:0|S:1:L:15:2|S:1:N:10:2|F:E2:0|S:1:T:9:2|S:1:R:12:1|S:1:S:10:2|S:1:N:11:2|F:E2:0|F:E2:0|S:1:N:15:2|F:E1:0|S:1:R:9:2|F:E2:0|S:1:K:12:1|F:E2:0|S:1:R:14:2|S:1:K:15:2|S:1:T:12:2|S:1:M:11:2|F:E1:0|S:1:K:17:2|F:E2:0|S:1:T:11:1|S:1:S:13:2|S:1:P:14:2|S:1:P:15:2|S:1:N:14:2|S:1:T:10:2|F:E1:0|F:E1:0|S:1:M:17:1|F:E2:0|S:1:K:10:2|S:1:R:11:2|F:E1:0|F:E1:0|F:E2:0|S:1:M:16:2|F:E1:0|F:E1:0|F:E2:0|S:1:K:14:2|F:E1:0|F:E1:0|F:E2:0|F:E1:0|S:1:N:9:2|S:1:R:15:2|F:E1:0|S:1:L:10:2|S:1:R:13:2|F:E2:0|F:E1:0|S:1:S:9:2|F:E2:0,117,5.0,E1_E2,0.0022,0.0022,-1266812793.0662,-20.3167,12.2059,-0.0389,0.0101,1.7366,1.6875,1280.7342,1274.9,2.0073,2.0807,615.1336,616.656,0.0316,0.0389,63.1311,63.514,76.5988,
alsearch_E1_E2_f117_minFE,0,20260721_105824,0.3,5aabf67cb917791ea8e6f1f28e2860a9086548503a95cf85985586553dcdeaa8,exploit,local,af72421a00575cf2197dec8c60581bff1e5b597b64868ca7218735af94ff909e,converged,False,False,True,True,,F:E1:0|S:1:N:10:2|F:E1:0|S:1:N:13:2|S:1:L:13:2|F:E1:0|S:1:R:14:2|S:1:M:10:2|F:E1:0|S:1:N:10:1|F:E2:0|F:E2:0|F:E2:0|F:E2:0|S:1:L:16:2|F:E1:0|F:E1:0|S:1:R:11:2|F:E1:0|S:1:M:14:2|S:1:N:11:2|F:E2:0|S:1:K:10:2|S:1:P:12:2|F:E1:0|S:1:M:15:2|F:E2:0|S:1:N:13:1|S:1:M:11:2|S:1:T:9:2|S:1:R:10:2|F:E1:0|F:E2:0|F:E2:0|S:1:T:12:2|S:1:P:15:2|S:1:L:13:1|S:1:L:10:2|F:E2:0|S:1:N:15:2|F:E2:0|S:1:L:15:2|F:E2:0|F:E2:0|F:E1:0|S:1:R:13:2|S:1:K:16:2|F:E2:0|S:1:T:11:2|S:1:P:9:2|F:E1:0|S:1:M:16:2|S:1:R:14:1|S:1:N:12:2|F:E2:0|F:E2:0|F:E1:0|F:E2:0|S:1:S:10:2|S:1:M:10:1|F:E2:0|F:E2:0|F:E1:0|S:1:L:9:2|S:1:S:13:2|F:E1:0|F:E1:0|S:1:K:17:2|S:1:R:12:2,117,5.0,E1_E2,0.0021,0.0021,-1269617495.4025,-20.3978,12.6571,-0.0456,0.0188,1.7374,1.7663,1211.0519,1202.3,2.0103,2.18,618.4391,616.245,0.0435,0.0456,65.3591,75.154,78.9371,
alsearch_E1_E2_f117_minFE,0,20260721_105824,0.3,b74b1553ab5abe074ab8bc27f94a1bb6287d6f072c5358810ed89f6d7caf3778,exploit,local,e11f281888bba7102ac7d805226de2fbeaedeb30f4b8a469a4934248dd898ebb,converged,False,False,True,True,,F:E1:0|S:1:R:12:2|S:1:M:10:2|S:1:P:11:2|F:E2:0|S:1:P:13:2|S:1:P:16:2|F:E1:0|F:E1:0|S:1:R:12:1|F:E2:0|S:1:L:9:2|F:E2:0|S:1:N:12:2|F:E1:0|S:1:M:13:2|S:1:S:11:2|F:E1:0|S:1:M:10:1|S:1:K:16:2|F:E2:0|S:1:M:16:2|S:1:L:12:2|F:E1:0|F:E2:0|F:E1:0|S:1:L:17:2|S:1:P:11:1|F:E2:0|F:E1:0|S:1:N:16:2|F:E2:0|S:1:K:10:2|F:E2:0|S:1:T:11:2|S:1:P:14:2|F:E2:0|S:1:M:15:2|S:1:R:11:2|F:E1:0|S:1:K:12:2|F:E1:0|S:1:T:10:2|S:1:S:14:2|S:1:P:13:1|S:1:L:11:2|S:1:K:17:2|S:1:N:9:2|S:1:S:9:2|F:E1:0|F:E1:0|F:E1:0|S:1:P:16:1|S:1:T:9:2|S:1:L:16:2|F:E1:0|S:1:R:14:2|S:1:R:15:2|F:E1:0|F:E1:0|F:E1:0|F:E1:0|F:E2:0|F:E1:0|F:E2:0|F:E1:0|F:E2:0|F:E2:0|S:1:P:10:2,117,5.0,E1_E2,0.0,0.0,-1351701127.8952,-22.3378,8.8279,-0.0315,0.004,1.7653,1.6973,1326.0492,1353.97,2.0191,2.1339,619.4001,619.484,0.0313,0.0315,63.151,67.048,76.8185,
alsearch_E1_E2_f117_minFE,0,20260721_105824,0.3,6efbf0f32677f07045acc3f70f5333823e207cefc9bbd801cf7b551b8c1692c5,exploit,local,8a0a15656cd605585bfd23ccdd6cb3942b11bd9490b2f98f70649cca49598582,converged,False,False,True,True,,F:E1:0|S:1:N:10:2|F:E2:0|S:1:N:13:2|S:1:L:13:2|S:1:S:10:2|S:1:R:14:2|S:1:P:15:2|F:E1:0|S:1:N:10:1|F:E2:0|F:E2:0|F:E2:0|F:E2:0|S:1:L:16:2|F:E1:0|F:E1:0|S:1:T:9:2|F:E2:0|S:1:M:14:2|S:1:L:9:2|F:E2:0|S:1:K:10:2|S:1:P:12:2|S:1:M:11:2|S:1:M:15:2|F:E2:0|S:1:N:13:1|F:E1:0|S:1:K:12:2|S:1:R:10:2|F:E1:0|F:E2:0|F:E1:0|S:1:S:13:2|S:1:M:10:2|S:1:L:13:1|S:1:L:10:2|F:E2:0|S:1:N:15:2|F:E2:0|S:1:L:15:2|F:E2:0|F:E2:0|S:1:S:10:1|S:1:R:13:2|F:E1:0|F:E2:0|S:1:T:11:2|S:1:R:15:2|F:E1:0|S:1:M:16:2|S:1:R:14:1|S:1:N:12:2|F:E2:0|F:E2:0|F:E1:0|F:E2:0|F:E1:0|S:1:P:15:1|F:E2:0|F:E2:0|F:E1:0|S:1:N:11:2|S:1:T:12:2|F:E1:0|S:1:K:16:2|S:1:L:14:2|S:1:R:12:2,117,5.0,E1_E2,0.0006,0.0006,-1375230337.0896,-22.8307,8.2151,-0.0485,0.0227,1.7618,1.7198,1223.153,1227.66,2.0442,2.2029,619.6446,619.324,0.046,0.0485,65.6565,68.125,79.3159,
alsearch_E1_E2_f117_minFE,0,20260721_105824,0.3,237b52fd1a6031a1557f801aa40bc50f29dd239a0bdf7f44ef9aaeb1239872dd,exploit,local,f4fb649984c82cdd01440de42861ec701e811766a77a3f71ac6e0b2ba39bbfea,converged,False,False,True,True,,F:E1:0|F:E2:0|S:1:S:13:2|F:E1:0|S:1:P:14:2|S:1:K:12:2|F:E1:0|S:1:L:15:2|F:E1:0|F:E2:0|S:1:N:13:2|F:E2:0|S:1:K:9:2|F:E1:0|S:1:N:12:2|S:1:R:15:2|S:1:S:12:2|F:E1:0|S:1:S:13:1|S:1:N:11:2|S:1:T:10:2|S:1:R:13:2|F:E2:0|S:1:R:9:2|F:E1:0|F:E1:0|S:1:R:11:2|F:E1:0|F:E2:0|S:1:L:10:2|S:1:L:13:2|F:E2:0|F:E1:0|S:1:M:9:2|S:1:N:10:2|S:1:M:16:2|S:1:P:14:1|F:E2:0|F:E1:0|S:1:K:16:2|S:1:N:15:2|F:E2:0|F:E2:0|F:E2:0|S:1:K:12:1|S:1:K:13:2|S:1:P:16:2|S:1:M:17:2|S:1:P:13:2|F:E2:0|S:1:L:16:2|S:1:P:12:2|F:E1:0|S:1:L:17:2|F:E1:0|S:1:P:15:2|F:E2:0|F:E1:0|F:E1:0|S:1:L:15:1|F:E1:0|F:E2:0|F:E1:0|S:1:S:11:2|F:E2:0|F:E1:0|S:1:T:9:2|F:E2:0|F:E1:0,117,5.0,E1_E2,0.0006,0.0006,-1383687425.0391,-23.0431,11.0677,-0.0215,-0.0025,1.7639,1.7304,1311.8521,1322.81,2.0268,2.2026,619.4953,615.726,0.0291,0.0215,62.2999,72.525,76.0523,
alsearch_E1_E2_f117_minFE,0,20260721_105824,0.3,2afa79f36d22eaccb0dc116e6374f28d6dcae4513df0f0a4169fb1bc9e8c726c,explore,random,,error,False,False,False,False,non_finite_flux,F:E1:0|F:E1:0|S:1:N:14:2|F:E2:0|F:E2:0|S:1:L:14:2|S:1:P:13:2|S:1:M:15:2|S:1:T:11:2|F:E1:0|F:E1:0|F:E2:0|F:E1:0|F:E1:0|F:E1:0|S:1:L:15:2|S:1:K:10:2|S:1:L:12:2|S:1:N:14:1|F:E2:0|S:1:S:14:2|F:E1:0|S:1:M:14:2|F:E1:0|S:1:K:12:2|S:1:L:10:2|F:E2:0|F:E2:0|F:E1:0|F:E1:0|S:1:K:16:2|S:1:P:11:2|F:E1:0|F:E2:0|F:E2:0|F:E1:0|F:E2:0|S:1:N:9:2|S:1:M:10:2|S:1:N:13:2|F:E1:0|F:E1:0|S:1:S:13:2|F:E1:0|S:1:L:14:1|S:1:S:12:2|F:E1:0|F:E1:0|F:E1:0|S:1:P:12:2|S:1:K:11:2|F:E2:0|S:1:P:13:1|S:1:T:12:2|F:E1:0|F:E1:0|F:E2:0|S:1:P:14:2|S:1:M:9:2|S:1:M:15:1|F:E1:0|S:1:R:12:2|S:1:K:9:2|S:1:N:15:2|S:1:N:10:2|S:1:T:11:1|S:1:P:10:2|S:1:N:12:2|S:1:M:11:2,117,5.0,E1_E2,0.0,0.0,-52388591679.2693,-221.8332,51.0937,,,3.7029,,1483.6253,,4.7308,,609.3622,,0.0403,,68.0787,,80.3634,
alsearch_E1_E2_f117_minFE,0,20260721_105824,0.3,ec2c2fadad37e7f18bfb79c51fe512fdd24a303d546d5eaf0c4bd166671af70b,explore,elite,eecb82ecf30976baa9bd354bf77a8e32e9c7774c2bc7b3ba79a4ce7de94b9785,error,False,False,False,False,non_finite_flux,F:E1:0|F:E1:0|F:E1:0|F:E1:0|S:1:K:15:2|S:1:R:9:2|F:E2:0|S:1:L:10:2|F:E2:0|F:E1:0|F:E1:0|F:E1:0|F:E1:0|F:E1:0|F:E2:0|S:1:P:11:2|S:1:K:14:2|S:1:L:9:2|F:E1:0|F:E2:0|F:E1:0|S:1:R:12:2|S:1:N:13:2|F:E2:0|S:1:K:11:2|S:1:L:13:2|F:E2:0|F:E1:0|F:E1:0|S:1:K:12:2|F:E1:0|S:1:P:12:2|F:E2:0|F:E1:0|F:E1:0|S:1:S:12:2|S:1:K:15:1|S:1:M:9:2|F:E1:0|S:1:T:9:2|F:E1:0|S:1:S:13:2|F:E2:0|F:E2:0|S:1:R:9:1|F:E2:0|S:1:K:9:2|S:1:P:10:2|F:E1:0|S:1:K:16:2|S:1:M:17:2|S:1:N:10:2|F:E2:0|F:E1:0|S:1:K:10:2|S:1:R:13:2|S:1:L:11:2|S:1:M:12:2|F:E2:0|S:1:L:10:1|F:E2:0|S:1:R:15:2|S:1:T:11:2|S:1:N:14:2|S:1:R:10:2|F:E2:0|S:1:P:14:2|S:1:M:10:2|F:E2:0,117,5.0,E1_E2,0.0,0.0,-58476850204.9881,-233.2806,50.2766,,,3.8165,,1406.2754,,5.1319,,604.7693,,0.0471,,67.629,,79.7122,
alsearch_E1_E2_f117_minFE,0,20260721_105824,0.3,299ecd996de1ef02573157a8c172a33d2c4270ce059af24d3cca938d67feba9f,control,elite,05d0c036ac111622a5adf6fbc55d0144be4abdb61b1ff2d42425d02da6785b90,converged,False,False,True,True,,F:E1:0|S:1:L:13:2|S:1:M:10:2|S:1:P:9:2|S:1:M:14:2|F:E1:0|F:E1:0|S:1:L:17:2|F:E1:0|S:1:L:13:1|F:E2:0|F:E1:0|F:E1:0|F:E2:0|S:1:K:10:2|F:E1:0|S:1:S:11:2|F:E2:0|S:1:M:10:1|S:1:T:9:2|F:E2:0|F:E2:0|F:E1:0|F:E2:0|S:1:L:12:2|F:E1:0|S:1:L:16:2|S:1:P:9:1|S:1:P:11:2|S:1:L:10:2|S:1:R:9:2|F:E1:0|S:1:M:11:2|S:1:M:16:2|S:1:K:15:2|F:E2:0|S:1:M:14:1|S:1:S:14:2|F:E1:0|S:1:N:15:2|S:1:L:11:2|S:1:L:15:2|F:E2:0|F:E2:0|F:E1:0|F:E1:0|S:1:N:11:2|F:E1:0|S:1:K:16:2|S:1:R:13:2|S:1:N:12:2|F:E1:0|F:E1:0|F:E2:0|F:E1:0|S:1:T:10:2|F:E1:0|S:1:T:12:2|S:1:K:14:2|S:1:L:17:1|F:E1:0|F:E2:0|F:E2:0|S:1:S:13:2|S:1:N:10:2|F:E1:0|S:1:K:13:2|F:E2:0|S:1:R:10:2,117,5.0,E1_E2,0.0,0.0,-4148562615.3076,-57.2922,19.7966,-0.0527,0.0381,2.1064,1.9688,1331.0318,1344.4,2.4799,2.561,607.2835,603.876,0.0472,0.0527,66.2253,74.792,77.5524,
alsearch_E1_E2_f117_minFE,1,20260721_105824,0.3,4ea85c635440de75f99ce22e1dc86b71f6faf7889f31b0bb7483e4f238be050d,exploit,local,d9e680937afac0fa29a3f7ad884a0bad20cfebb1563cefc0854733d509ebf6c3,converged,False,False,True,True,,F:E1:0|S:1:L:13:2|S:1:K:14:2|F:E2:0|S:1:P:9:2|S:1:M:9:2|S:1:L:10:2|F:E2:0|F:E2:0|S:1:L:13:1|S:1:N:14:2|F:E2:0|F:E2:0|F:E2:0|S:1:P:15:2|F:E1:0|S:1:M:10:2|S:1:T:11:2|S:1:K:14:1|S:1:T:9:2|S:1:P:11:2|S:1:N:15:2|S:1:R:11:2|F:E2:0|F:E2:0|F:E2:0|F:E2:0|F:E2:0|F:E1:0|S:1:N:10:2|S:1:K:13:2|F:E2:0|S:1:R:13:2|S:1:T:12:2|S:1:R:15:2|F:E2:0|S:1:P:9:1|F:E2:0|F:E1:0|S:1:S:9:2|S:1:N:12:2|F:E2:0|F:E1:0|S:1:N:16:2|S:1:M:9:1|F:E2:0|S:1:M:17:2|S:1:M:16:2|S:1:P:13:2|S:1:R:10:2|F:E1:0|S:1:S:11:2|S:1:L:10:1|S:1:K:12:2|S:1:R:14:2|F:E2:0|F:E2:0|F:E2:0|F:E2:0|F:E2:0|S:1:L:17:2|F:E1:0|F:E2:0|F:E1:0|S:1:L:16:2|F:E2:0|S:1:M:15:2|F:E1:0|F:E1:0,117,5.0,E1_E2,0.0,0.0,-1256190615.2561,-20.2057,53.8434,-0.0361,0.0113,1.744,1.8731,1224.6113,1179.69,2.0053,2.3749,609.0723,606.933,0.0374,0.0361,65.3846,74.99,77.4687,
alsearch_E1_E2_f117_minFE,1,20260721_105824,0.3,3ffa810afe50cf1e26a43e1472d3fd30a84a1a73fcac232bef5c0632d560f8f7,exploit,local,33d5f31a4953c78958da4b29af879332cfb2a5997515ab21938127cfd96900bd,converged,False,False,True,True,,F:E1:0|S:1:M:11:2|S:1:S:13:2|S:1:N:10:2|S:1:P:14:2|S:1:K:12:2|F:E1:0|S:1:L:15:2|F:E1:0|S:1:M:11:1|F:E2:0|F:E2:0|S:1:P:11:2|F:E1:0|S:1:T:10:2|S:1:R:15:2|S:1:M:9:2|F:E1:0|S:1:S:13:1|F:E2:0|S:1:M:12:2|F:E2:0|S:1:K:11:2|F:E2:0|F:E1:0|F:E1:0|S:1:R:11:2|S:1:N:10:1|F:E2:0|S:1:L:10:2|F:E2:0|S:1:P:12:2|F:E1:0|S:1:M:16:2|F:E1:0|S:1:S:12:2|S:1:P:14:1|S:1:K:10:2|F:E1:0|S:1:K:16:2|S:1:N:15:2|F:E2:0|F:E2:0|F:E2:0|S:1:K:12:1|S:1:R:9:2|S:1:P:16:2|S:1:M:17:2|S:1:P:13:2|F:E2:0|S:1:L:16:2|S:1:S:9:2|F:E1:0|S:1:R:13:2|F:E1:0|S:1:P:15:2|F:E2:0|F:E1:0|F:E1:0|S:1:L:15:1|F:E1:0|F:E2:0|F:E1:0|S:1:S:11:2|F:E2:0|F:E1:0|S:1:T:9:2|S:1:L:13:2|F:E1:0,117,5.0,E1_E2,0.0,0.0,-1256725343.3677,-20.333,44.0497,-0.0267,0.0001,1.7453,1.7132,1349.7162,1335.48,2.0374,2.1732,620.2518,620.632,0.034,0.0267,65.9923,71.43,75.8591,
alsearch_E1_E2_f117_minFE,1,20260721_105824,0.3,6d84974e7839f5fc304bcbca1f94598fd3c3ae48adc53c9415f006290c5354d7,exploit,local,229a77146471346bb1c9f1de882171b2a3609e7b9a3ad20c716b4023fc008a4a,converged,False,False,True,True,,F:E1:0|S:1:N:11:2|S:1:M:10:2|F:E2:0|S:1:S:11:2|S:1:P:10:2|S:1:K:16:2|F:E2:0|F:E1:0|S:1:N:11:1|F:E2:0|S:1:P:16:2|F:E1:0|S:1:P:11:2|F:E2:0|S:1:S:10:2|F:E1:0|F:E2:0|S:1:M:10:1|F:E2:0|S:1:N:15:2|S:1:P:13:2|F:E2:0|S:1:R:15:2|S:1:K:11:2|F:E2:0|F:E2:0|F:E2:0|S:1:R:14:2|S:1:R:12:2|S:1:P:12:2|F:E1:0|F:E2:0|F:E1:0|S:1:P:15:2|F:E1:0|S:1:S:11:1|S:1:L:13:2|F:E1:0|S:1:K:10:2|S:1:S:9:2|F:E2:0|S:1:T:9:2|S:1:L:14:2|S:1:P:10:1|S:1:L:16:2|F:E2:0|S:1:T:10:2|F:E2:0|S:1:N:12:2|F:E2:0|F:E1:0|S:1:K:16:1|S:1:M:15:2|S:1:T:11:2|F:E1:0|F:E1:0|F:E1:0|F:E1:0|F:E2:0|F:E1:0|F:E2:0|F:E2:0|S:1:M:16:2|S:1:S:14:2|F:E1:0|S:1:M:9:2|S:1:N:14:2|S:1:T:12:2,117,5.0,E1_E2,0.0,0.0,-1291779829.1051,-21.1323,37.6019,-0.0368,0.0024,1.7533,1.6569,1308.5159,1281.06,2.0312,2.0446,614.132,619.783,0.0384,0.0368,66.3564,66.135,77.6012,
